ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
98,,L'effetto evolutivo dell'elica è maggiore con un'unità:,abbriviata a marcia indietro.,F,abbriviata a marcia avanti.,F,senza abbrivio e con marcia inserita.,V,1.1.2-23,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
99,,Si ha cavitazione nel momento in cui l'elica:,non raggiunge il regime minimo dei giri.,F,oltrepassa il limite dei giri e non si ha più la spinta propulsiva.,V,s'impiglia in un cavo.,F,1.1.2-24,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
100,,"Con elica sinistrorsa, se manovro in marcia indietro:","con il timone al centro, la poppa accosta a sinistra.",F,"con il timone al centro, la poppa accosta a dritta.",V,l'unità procede dritta.,F,1.1.2-25,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
101,,"Se un'unità da diporto a motore bielica ha a sinistra un'elica sinistrorsa, si può ragionevolmente ritenere che quella di dritta:",è destrorsa.,V,può essere indifferentemente destrorsa o sinistrorsa.,F,è destrorsa anch'essa.,F,1.1.2-26,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
102,,Il timone è compensato quando:,è dotato di sistema di comando idraulico.,F,una parte della pala è a proravia dell'asse.,V,è fissato allo specchio di poppa a mezzo di cerniere.,F,1.1.2-27,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
103,,"Con elica destrorsa, manovro in marcia indietro:","tenendo il timone al centro, la poppa accosta a dritta.",F,"con il timone a dritta, limito l’accostata della poppa a sinistra.",V,"con il timone a sinistra, accentuo l’accostata della poppa a dritta.",F,1.1.2-28,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
104,,Manovrando una unità da diporto dotata di due linee d'asse (destrorsa a dritta e sinistrorsa a sinistra); si ha che:,"con il solo motore di dritta in marcia indietro (fermo il motore di sinistra), la prora accosta a dritta.",V,"con il motore di dritta in marcia avanti e con quello di sinistra in marcia indietro, si ruota sul posto in senso orario.",F,"con il solo motore di sinistra in marcia indietro (fermo il motore di dritta), la poppa accosti a sinistra.",F,1.1.2-29,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
105,,Un’elica destrorsa:,in marcia avanti tende a far accostare la poppa a sinistra.,F,"se vista da poppa, in marcia avanti l'elica gira in senso antiorario.",F,"in marcia indietro, l'elica tende a far accostare la poppa a sinistra.",V,1.1.2-30,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
106,,"Sulla manovra e il funzionamento del timone a barra, senza considerare l’effetto dell’elica, in marcia avanti abbiamo che:","con barra a sinistra, la prua va a sinistra.",F,"con barra a sinistra, la prua va a dritta.",V,"con barra a sinistra, in moto indietro la poppa va a sinistra.",F,1.1.2-31,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
107,,Ruotando la ruota a sinistra nel moto in avanti; accade che la:,prora vada a sinistra.,V,prora vada a dritta.,F,poppa vada a sinistra.,F,1.1.2-32,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
108,,Un'elica sinistrorsa:,"guardando la poppa dall'esterno, in marcia avanti gira in senso antiorario.",V,"in marcia avanti, tende a fare accostare la poppa a dritta.",F,"in marcia indietro, tende a fare accostare la prora a dritta.",F,1.1.2-33,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
109,,Con un motore fuoribordo:,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a dritta.",F,l’effetto evolutivo dell’elica è più importante rispetto a quello generato con un entrobordo monoelica.,F,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a sinistra.",V,1.1.2-34,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
110,,Un’elica destrorsa:,"in marcia indietro, l’elica ruota in senso antiorario.",V,"in marcia indietro, con timone al centro, la poppa si sposta verso dritta.",F,"in marcia avanti, con timone al centro, la poppa si sposta verso sinistra.",F,1.1.2-35,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
111,,Il timone avente tutta la pala a poppavia dell’anima è denominato:,compensato.,F,ordinario.,V,comune.,F,1.1.2-36,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
112,,Installando un timone compensato si ottiene che:,si riesce a far ruotare il timone fino a circa 90 gradi.,F,è richiesto uno sforzo minore per girare la ruota.,V,l’unità ruota decisamente di più.,F,1.1.2-37,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
113,,Come ci si deve comportare per manovrare in caso di avaria al timone su una barca di piccole dimensioni?,non si può manovrare per cui conviene chiedere aiuto.,F,immergendo un remo sul lato sinistro per virare a sinistra.,V,immergendo un remo sul lato sinistro per virare a dritta.,F,1.1.2-38,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
114,,"Con motore entrobordo ed elica sinistrorsa, in marcia avanti e con il timone al centro:",la poppa tende ad evoluire verso sinistra.,V,l’unità avanza con moto diritto.,F,la prora tende ad evoluire verso sinistra.,F,1.1.2-39,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
115,,"Con motore entrobordo ed elica sinistrorsa, in retromarcia e con il timone al centro, accade che:",l’unità indietreggia con moto diritto.,F,la poppa tende ad evoluire verso dritta.,V,la poppa tende ad evoluire verso sinistra.,F,1.1.2-40,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
116,,L’effetto evolutivo dell’elica su un motore entrobordo si compensa:,usando un'elica particolare.,F,inclinando leggermente l’asse portaelica.,F,con il timone.,V,1.1.2-41,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
117,,Cosa si intende per timoni accoppiati di un'unità?,la condizione in cui il timone principale e quello di emergenza si muovono in sincronia.,F,due timoni uguali e simmetrici utilizzati su alcune unità navali bielica che agiscono in sincronia.,V,la condizione in cui i due timoni montati a bordo sono collegati al pilota automatico.,F,1.1.2-42,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
118,,"In un'unità bielica (con due assi portaelica), per quale motivo l'elica di dritta è destrorsa e l'elica di sinistra è sinistrorsa?",per garantire una costante velocità di crociera.,F,per eliminare il fenomeno di cavitazione dell'elica.,F,Per compensare l'effetto laterale delle pale.,V,1.1.2-43,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
119,,"In generale, quale effetto produce un'elica destrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la prua si sposterà verso sinistra e la poppa verso dritta.,V,la prua si sposterà verso dritta e la poppa verso sinistra.,F,poppa tenderà ad abbassarsi e la prua ad innalzarsi.,F,1.1.2-44,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
120,,"In generale, quale effetto produce un'elica sinistrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la poppa tenderà ad abbassarsi e la prua ad innalzarsi.,F,la prua si sposterà verso sinistra e la poppa verso dritta.,F,la prua si sposterà verso dritta e la poppa verso sinistra.,V,1.1.2-45,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
121,,Cosa si intende per assetto di un'unità navale?,la posizione di equilibrio assunta nel piano longitudinale (prua - poppa).,V,la posizione di equilibrio assunta nel piano trasversale (dritta - sinistra).,F,la posizione di equilibrio assunta nel piano verticale.,F,1.1.2-46,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
122,,Cosa si intende per rollio di un'unità navale?,"la rotazione lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa a dritta e a sinistra.",V,"la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.",F,"la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.",F,1.1.2-47,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
123,,Cosa si intende per beccheggio di un'unità?,"la rotazione lungo l'asse longitudinale dell'unità navale, che determina l'inclinazione della stessa a dritta e a sinistra.",F,"la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.",V,"la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.",F,1.1.2-48,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
124,,Cosa si intende per accostata di un'unità?,"la rotazione dell'unità lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa in maniera alternata a dritta e a sinistra.",F,"la rotazione dell'unità lungo l'asse trasversale, che determina l'immersione della parte prodiera e il contestuale sollevamento della parte poppiera.",F,"la rotazione dell'unità  lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.",V,1.1.2-49,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
125,,Il peso della nave corrisponde a:,la portata.,F,la stazza.,F,il dislocamento.,V,1.1.2-50,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
126,,Di norma il motore diesel viene spento:,lasciando esaurire la benzina nel serbatoio.,F,mettendo a massa la bobina.,F,impedendo al carburante di affluire alla pompa di iniezione.,V,1.2.1-1,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
127,,"Prima di avviare un motore entrobordo a benzina, qual è la prima operazione da compiere?",aprire i rubinetti del circuito di raffreddamento a ciclo chiuso.,F,far aerare il vano motore.,V,verificare che le candele siano ben inserite.,F,1.2.1-2,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
128,,"Il principale problema, in termini di sicurezza, di un motore a benzina è:",l'accumulo di vapori di benzina nel vano motore.,V,la minore volatilità della benzina rispetto al gasolio.,F,le esalazioni di vapori di benzina dal tubo di scarico.,F,1.2.1-3,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
129,,Cosa può determinare il danneggiamento della girante del circuito di raffreddamento di un motore fuoribordo?,la miscela troppo ricca.,F,il funzionamento del fuoribordo quando la sua presa d'acqua si trova al di fuori del livello dell'acqua.,V,la percentuale di aria nella miscela bassa.,F,1.2.1-4,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
130,,Un impianto di aerazione forzata nel vano che alloggia il motore entrobordo diesel di un'unità da diporto:,è sconsigliato.,F,è obbligatorio.,F,"non è obbligatorio, ma è consigliato.",V,1.2.1-5,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
131,,Quali sono le fasi di un motore a combustione interna a quattro tempi?,"depressione, alimentazione, iniezione, espansione.",F,attiva e passiva.,F,"aspirazione, compressione, scoppio, scarico.",V,1.2.1-6,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
132,,Ho necessità di invertire la rotazione dell'elica: è necessario invertire la rotazione del motore?,no; l'inversione della rotazione dell'elica si ottiene azionando l'apposita leva del sistema riduttore/invertitore.,V,sì; azionando l'apposita leva avviene automaticamente l'inversione del senso di rotazione del motore.,F,solo nei motori non muniti del sistema riduttore/invertitore occorre invertire il senso di rotazione del motore.,F,1.2.1-7,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
133,,"In generale, la causa più comune in base alla quale un motore entrobordo si surriscalda avviene quando:",la presa a mare della pompa dell'acqua si è occlusa.,V,la pompa di iniezione si è rotta.,F,si è sporcato il filtro dell'olio.,F,1.2.1-8,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
134,,"Un motore ""entrofuoribordo"" è un motore:",esterno allo scafo con organi di trasmissione interni.,F,entrobordo con gli organi di trasmissione riuniti in un piede fuoribordo applicato alla poppa.,V,"fuoribordo, che ha un apposito pozzetto interno per alloggiare la testa.",F,1.2.1-9,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
135,,"Con il termine ""spurgare"", riferito a un sistema d'alimentazione di un motore diesel, s'intende:",pulire i filtri del gasolio.,F,eliminare tutta l'aria presente nel circuito di alimentazione carburante prima di riaccendere il motore.,V,svuotare tutto il gasolio presente nel sistema prima di riempire il serbatoio.,F,1.2.1-10,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
136,,"Escludendo problemi all'elica, se un motore diesel ""perde colpi e cala di giri"" e vi è carburante in quantità sufficiente; cos'è successo?",si è ostruita la presa a mare.,F,si è intasato il filtro dell'olio.,F,nel serbatoio è presente carburante sporco.,V,1.2.1-11,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
137,,Il sistema propulsivo di una barca a motore è dato:,dal timone e i suoi accessori.,F,dalle vele.,F,dal motore e dall'elica.,V,1.2.1-12,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
138,,Lo scambiatore di calore in un motore marino entrobordo:,permette il raffreddamento dell'asse portaelica dell'unità mediante acqua pompata dall'esterno.,F,fa parte del circuito diretto di raffreddamento del motore salpancora.,F,serve per raffreddare il fluido presente nel circuito chiuso mediante l'acqua di mare.,V,1.2.1-13,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
139,,"Com'è denominato quell'organo del motore marino che permette di alternare le fasi di moto ""marcia avanti - folle - marcia indietro""?",giunto cardanico.,F,astuccio.,F,invertitore.,V,1.2.1-14,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
140,,Nell'impianto elettrico di un motore marino diesel:,tutte le candele ricevono nello stesso istante l'impulso elettrico dallo spinterogeno.,F,"una volta avviato il motore, questo non funziona staccando la batteria.",F,la batteria è elemento essenziale per l'avviamento.,V,1.2.1-15,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
141,,In un motore a 4 tempi quanti giri descrive l’albero motore per effettuare un ciclo completo?,due giri.,V,quattro giri.,F,otto giri.,F,1.2.1-16,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
142,,Riguardo al ciclo di funzionamento di un motore a 4 tempi:,consiste in 4 giri dell’albero motore.,F,consiste in 1 giro dell’albero motore.,F,consiste in 4 corse del pistone e 2 giri dell’albero motore.,V,1.2.1-17,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
143,,Nell’impianto elettrico di un motore marino:,il motorino di avviamento non necessita di alimentazione dalla batteria.,F,il sistema di accensione esiste solo nei motori a scoppio.,V,la batteria non è un accumulatore di energia elettrica.,F,1.2.1-18,BASE,MOTORI,Elementi di funzionamento dei sistemi di propulsione a motore
